pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
8.43,3.73,6.9,0.06,4
7.05,7.49,3.1,0.17,2
7.19,5.73,8.0,0.34,4
7.65,10.1,5.0,0.61,3
7.62,6.83,4.9,0.02,3
8.53,9.11,7.8,0.06,4
8.85,10.1,7.6,0.16,4
8.31,8.17,6.6,0.67,4
7.75,3.31,4.7,1.3,4
7.58,5.56,13.9,0.07,5
8.88,7.45,1.6,0.06,2
7.46,3.28,3.8,0.32,4
7.16,4.11,4.5,1.05,4
7.47,5.08,5.4,0.35,3
7.92,7.63,4.1,0.15,3
8.6,9.65,5.7,0.3,3
7.44,2.52,3.1,0.21,5
7.94,8.46,4.0,0.05,2
7.78,10.1,2.7,0.17,2
8.42,7.05,10.6,0.09,5
7.37,11.3,5.4,0.22,3
7.15,7.57,3.2,0.29,2
8.68,4.74,6.2,0.07,4
7.25,3.71,5.6,0.14,4
7.21,4.02,4.1,0.09,4
7.65,6.79,1.0,0.06,2
7.79,5.57,3.4,0.07,3
7.41,2.71,3.2,0.2,5
8.16,4.02,3.8,0.87,4
8.45,7.36,5.3,0.3,3
7.79,12.2,2.6,0.16,2
8.14,6.8,9.2,0.16,4
7.81,5.52,5.5,0.25,3
7.47,6.0,11.4,0.25,5
8.49,6.72,1.6,0.06,2
7.74,5.43,3.6,0.14,3
7.16,3.64,5.8,0.36,4
7.57,5.46,5.0,0.28,3
7.78,7.81,4.4,0.15,3
8.8,10.2,6.7,0.15,4
6.97,9.65,5.2,0.48,3
7.85,4.02,5.8,0.74,4
7.07,10.4,3.2,0.18,2
8.43,4.31,6.5,0.07,4
7.23,3.98,5.1,0.2,4
7.22,3.89,4.0,0.1,4
7.67,6.6,1.2,0.08,2
7.65,4.76,0.0,0.09,4
7.36,4.86,9.3,0.68,4
7.15,7.15,3.1,0.38,2
7.48,4.45,3.1,0.38,4
7.25,10.9,5.1,0.57,3
7.4,7.13,4.6,0.07,3
8.4,8.77,3.8,0.05,2
7.95,7.6,4.0,0.04,2
7.24,3.69,2.8,0.74,4
8.01,6.41,2.7,0.11,2
7.23,7.15,2.1,0.04,2
8.7,10.3,5.0,0.3,3
8.61,7.77,4.9,0.2,3
8.26,10.3,3.8,0.04,2
8.23,15.2,4.2,0.1,3
8.36,12.2,10.0,0.1,4
7.66,7.64,5.3,0.22,3
7.12,7.56,3.2,0.19,2
8.47,3.74,6.6,0.14,4
6.93,4.1,5.2,0.17,4
7.25,4.04,3.9,0.09,4
